id,hsk_level,hanzi,pinyin,english_translation,detailed_english_translation
130,1,名字,míngzi,name,"Means 'name.' It can refer to the name of a person or a thing."
131,1,哪,nǎ,which,"Means 'which' and is used in questions to ask about a choice."
132,1,哪个,nǎge,which,"Means 'which one.' It can also mean 'who' in some casual contexts."
133,1,哪里,nǎlǐ,where,"Means 'where.' It is used to ask about location or place."
134,1,哪儿,nǎr,where,"A spoken form of 'where,' especially common in northern Mandarin."
135,1,哪些,nǎxiē,which,"Means 'which ones' when asking about more than one person or thing."
136,1,那,nà,that,"Means 'that' or 'those.' It points to something farther away from the speaker."
137,1,那边,nàbiān,there,"Means 'there' or 'over there.'"
138,1,那个,nàge,that one,"Usually means 'that one' or 'that thing.' In spoken Mandarin, it is also often used as a filler like 'um.'"
139,1,那里,nàlǐ,there,"Means 'there' or 'that place.'"
140,1,那儿,nàr,there,"A spoken form of 'there,' especially common in northern Mandarin."
141,1,那些,nàxiē,those,"Means 'those' when referring to more than one person or thing."
142,1,男,nán,male,"Means 'male' or 'man,' depending on the context."
143,1,男朋友,nánpéngyou,boyfriend,"Refers to a boyfriend."
144,1,呢,ne,sentence-final particle,"Often used at the end of a sentence to keep a question or situation open. It can also be used to ask 'what about...?'"
145,1,能,néng,can,"Usually means 'can' or 'to be able to.' It often expresses ability, possibility, or permission."
146,1,你,nǐ,you,"The ordinary informal word for 'you.'"
147,1,你好,nǐ hǎo,hello,"A common greeting meaning 'hello.'"
148,1,你们,nǐmen,you,"Means 'you' when speaking to more than one person."
149,1,年,nián,year,"Means 'year.'"
150,1,您,nín,you,"A polite and respectful form of 'you.'"
151,1,牛奶,niúnǎi,milk,"Refers to milk, especially cow's milk."
152,1,女,nǚ,female,"Means 'female' or 'woman,' depending on the context."
153,1,女儿,nǚ’ér,daughter,"Refers to a daughter."
154,1,女朋友,nǚpéngyou,girlfriend,"Refers to a girlfriend."
155,1,女士,nǚshì,ma'am,"A polite way to address or refer to a woman, similar to 'ma'am' or 'Ms.'"
156,1,朋友,péngyou,friend,"Refers to a friend."
157,1,便宜,piányi,cheap,"Means 'cheap' or 'inexpensive.'"
158,1,漂亮,piàoliang,beautiful,"Usually means 'beautiful' or 'pretty.' It can describe people, clothes, places, and other things that look nice."
159,1,苹果,píngguǒ,apple,"Refers to an apple."
160,1,七,qī,seven,"The number seven."
161,1,起床,qǐchuáng,get up,"Means 'to get up' or 'to get out of bed.'"
162,1,千,qiān,thousand,"The number one thousand."
163,1,前,qián,front,"Usually means 'front,' 'before,' or 'ahead,' depending on the context."
164,1,钱,qián,money,"Means 'money.'"
165,1,请,qǐng,please,"Often means 'please' when making a polite request. As a verb, it can also mean 'to invite' or 'to ask.'"
166,1,请问,qǐngwèn,excuse me,"A polite expression used before asking a question, similar to 'excuse me' or 'may I ask.'"
167,1,去,qù,go,"Means 'to go' or 'to leave for a place.'"
168,1,去年,qùnián,last year,"Means 'last year.'"
169,1,热,rè,hot,"Usually means 'hot.' It can describe weather, temperature, or warmth."
170,1,人,rén,person,"Means 'person' or 'people.'"
171,1,认识,rènshi,know,"Usually means 'to know' someone or 'to recognize' something. It often refers to being familiar with a person, place, or fact."
172,1,日,rì,day,"Usually means 'day' or 'date.' In some contexts, it can also mean 'sun.'"
173,1,三,sān,three,"The number three."
174,1,商店,shāngdiàn,store,"Refers to a store or shop."
175,1,上,shàng,on,"Usually means 'on,' 'above,' or 'up.' It is also used in many common verbs and time expressions."
176,1,上班,shàngbān,go to work,"Means 'to go to work' or 'to be at work.'"
177,1,上课,shàngkè,attend class,"Means 'to attend class' or 'to be in class.'"
178,1,上午,shàngwǔ,morning,"Means the morning, usually before noon."
179,1,上学,shàngxué,go to school,"Means 'to go to school' or 'to attend school.'"
180,1,少,shǎo,few,"Usually means 'few' or 'little.' As a verb, it can also mean to be lacking or missing."
181,1,谁,shéi/shuí,who,"Means 'who.'"
182,1,什么,shénme,what,"Means 'what.' In some contexts, it can also refer to an unspecified thing."
183,1,生病,shēngbìng,get sick,"Means 'to get sick' or 'to fall ill.'"
184,1,十,shí,ten,"The number ten."
185,1,时候,shíhou,time,"Means a point or period of time. It is often used in everyday phrases about when something happens."
186,1,时间,shíjiān,time,"Means 'time.' It can refer to time in general, a period of time, or a schedule."
187,1,事,shì,thing,"Means a thing, matter, or affair."
188,1,是,shì,be,"The basic verb meaning 'to be.' It is used to link a subject with what it is."
189,1,手机,shǒujī,mobile phone,"Refers to a mobile phone or cell phone."
190,1,书,shū,book,"Means 'book.'"
191,1,书店,shūdiàn,bookstore,"Refers to a bookstore."
192,1,水,shuǐ,water,"Means 'water.'"
193,1,水果,shuǐguǒ,fruit,"Means 'fruit.'"
194,1,睡,shuì,sleep,"Means 'to sleep.'"
195,1,睡觉,shuìjiào,sleep,"Means 'to sleep' or 'to go to bed.'"
196,1,说,shuō,say,"Usually means 'to say' or 'to speak.'"
197,1,说话,shuōhuà,talk,"Means 'to talk' or 'to speak.'"
198,1,四,sì,four,"The number four."
199,1,岁,suì,years old,"Used to talk about age in years. It can also refer more generally to a year of age."
200,1,他,tā,he,"Means 'he' or 'him.'"
201,1,它,tā,it,"Means 'it' for animals, objects, or things."
202,1,她,tā,she,"Means 'she' or 'her.'"
203,1,他们,tāmen,they,"Means 'they' or 'them' for a group of people that includes males or is mixed."
204,1,它们,tāmen,they,"Means 'they' or 'them' for animals or things."
205,1,她们,tāmen,they,"Means 'they' or 'them' for a group of females."
206,1,太,tài,too,"Usually means 'too' or 'excessively.' It can also be used before adjectives to mean 'very.'"
207,1,天,tiān,day,"Usually means 'day.' In some contexts, it can also mean the sky or heaven."
208,1,天气,tiānqì,weather,"Means 'weather.'"
209,1,听,tīng,listen,"Usually means 'to listen' or 'to hear.'"
210,1,听见,tīngjiàn,hear,"Means 'to hear' or 'to hear and notice.'"
211,1,同学,tóngxué,classmate,"Refers to a classmate or fellow student."
212,1,外,wài,outside,"Usually means 'outside,' 'outer,' or 'external.'"
213,1,外边,wàibian,outside,"Means 'outside' or 'out there.'"
214,1,玩,wán,play,"Means 'to play' or 'to have fun.'"
215,1,晚,wǎn,late,"Usually means 'late' or 'evening,' depending on the context."
216,1,晚饭,wǎnfàn,dinner,"Means the evening meal, or dinner."
217,1,晚上,wǎnshang,evening,"Means the evening or nighttime."
218,1,喂,wèi,hello,"Used on the phone or to call out to someone, similar to 'hello' or 'hey.'"
219,1,问,wèn,ask,"Means 'to ask' or 'to inquire.'"
220,1,问题,wèntí,question,"Can mean a question, problem, or issue, depending on the context."
221,1,我,wǒ,I,"Means 'I' or 'me.'"
222,1,我们,wǒmen,we,"Means 'we' or 'us.'"
223,1,五,wǔ,five,"The number five."
224,1,午饭,wǔfàn,lunch,"Means the midday meal, or lunch."
225,1,喜欢,xǐhuan,like,"Means 'to like' or 'to enjoy.'"
226,1,下,xià,below,"Usually means 'below,' 'under,' or 'down.' It is also used in many common verbs and time expressions."
227,1,下雨,xià yǔ,rain,"Means 'to rain.'"
228,1,下班,xiàbān,finish work,"Means 'to finish work' or 'to get off work.'"
229,1,下课,xiàkè,finish class,"Means 'to finish class' or 'to be dismissed from class.'"
230,1,下午,xiàwǔ,afternoon,"Means the afternoon, usually after noon."
231,1,先生,xiānsheng,mister,"A polite way to address or refer to a man, similar to 'Mr.' or 'sir.' In some contexts, it can also mean 'husband.'"
232,1,现在,xiànzài,now,"Means 'now' or 'at the present time.'"
233,1,想,xiǎng,want,"Can mean 'to want to' or 'to think.' It is often used for wishes, plans, and thoughts."
234,1,小,xiǎo,small,"Means 'small' or 'little.' It can describe size, age, or degree."
235,1,小朋友,xiǎopéngyǒu,child,"A friendly everyday word for a child or young kid."
236,1,小时,xiǎoshí,hour,"Means 'hour.'"
237,1,小学,xiǎoxué,primary school,"Refers to primary school or elementary school."
238,1,小学生,xiǎoxuéshēng,primary school student,"Refers to a primary school or elementary school student."
239,1,些,xiē,some,"Means 'some' or 'a few.' It is often used after pronouns or numbers to refer to an indefinite amount."
240,1,写,xiě,write,"Means 'to write.'"
241,1,谢谢,xièxie,thank you,"A common way to say 'thank you.'"
242,1,新,xīn,new,"Means 'new.'"
243,1,星期,xīngqī,week,"Usually means 'week.' It is also used in expressions for days of the week."
244,1,星期日,xīngqīrì,Sunday,"Means 'Sunday.'"
245,1,星期天,xīngqītiān,Sunday,"Means 'Sunday.'"
246,1,休息,xiūxi,rest,"Means 'to rest' or 'to take a break.'"
247,1,学,xué,learn,"Means 'to learn' or 'to study.'"
248,1,学生,xuéshēng,student,"Refers to a student."
249,1,学习,xuéxí,study,"Means 'to study' or 'to learn.'"
250,1,学校,xuéxiào,school,"Refers to a school."
251,1,雪,xuě,snow,"Means 'snow.'"
252,1,要,yào,want,"Usually means 'to want' or 'to need.' It can also be used to talk about future actions or strong intention."
253,1,也,yě,also,"Means 'also' or 'too.'"
254,1,一,yī,one,"The number one. It is also used in many everyday expressions to mean a single instance or amount."
255,1,衣服,yīfu,clothes,"Means 'clothes.'"
256,1,医生,yīshēng,doctor,"Refers to a doctor."
257,1,医院,yīyuàn,hospital,"Refers to a hospital."
258,1,一半,yíbàn,half,"Means 'half.'"
259,1,一下,yíxià,a bit,"Often used after a verb to soften the action and suggest doing it briefly or casually. It can also mean 'one time' in some contexts."
260,1,椅子,yǐzi,chair,"Refers to a chair."
261,1,一点儿,yìdiǎnr,a little,"Means 'a little' or 'a bit.'"
262,1,一些,yìxiē,some,"Means 'some' or 'a number of.'"
263,1,有,yǒu,have,"Means 'to have' or 'there is/are.' It is used to talk about possession, existence, or availability."
264,1,有的,yǒude,some,"Means 'some' when referring to part of a group."
265,1,有点儿,yǒudiǎnr,a little,"Usually means 'a little' or 'somewhat,' often with a slight negative feeling."
266,1,有些,yǒuxiē,some,"Means 'some.' It can also mean 'somewhat' before certain adjectives."
267,1,雨,yǔ,rain,"Means 'rain.' As a verb, it can also mean that rain is falling."
268,1,元,yuán,yuan,"The basic Chinese currency unit, the yuan."
269,1,月,yuè,month,"Means 'month.'"
270,1,再,zài,again,"Means 'again' or 'one more time.' It can also mean 'then' when something happens afterward."
271,1,在,zài,be at,"Usually means 'to be at' or 'to be in' a place. Before another verb, it can also mark an action that is in progress."
272,1,再见,zàijiàn,goodbye,"A common way to say 'goodbye.'"
273,1,早,zǎo,early,"Means 'early' or 'morning,' depending on the context. It is also used in the greeting 'good morning.'"
274,1,早饭,zǎofàn,breakfast,"Means breakfast, or the morning meal."
275,1,早上,zǎoshang,morning,"Means the morning."
276,1,怎么,zěnme,how,"Usually means 'how.' In some contexts, it can also mean 'why' or 'what.'"
277,1,怎么样,zěnmeyàng,how about,"Used to ask 'how about' something or 'how is it going.' It can also ask about someone's condition or opinion."
278,1,找,zhǎo,look for,"Means 'to look for' or 'to try to find.'"
279,1,这,zhè,this,"Means 'this' or 'these.' It points to something close to the speaker."
280,1,这边,zhèbiān,here,"Means 'here' or 'this side.'"
281,1,这个,zhège,this,"Means 'this' or 'this one.'"
282,1,这里,zhèlǐ,here,"Means 'here' or 'this place.'"
283,1,这儿,zhèr,here,"A spoken form of 'here,' especially common in northern Mandarin."
284,1,这些,zhèxiē,these,"Means 'these' when referring to more than one person or thing."
285,1,真,zhēn,really,"Often means 'really' or 'truly.' It can also describe something as real or genuine."
286,1,正在,zhèngzài,in the middle of,"Placed before a verb to show that an action is happening right now."
287,1,只,zhī,only,"Usually means 'only' or 'just.'"
288,1,知道,zhīdào,know,"Means 'to know' or 'to be aware of.'"
289,1,中国,Zhōngguó,China,"Refers to China."
290,1,中文,Zhōngwén,Chinese,"Usually refers to the Chinese language. In some contexts, it can also mean written Chinese."
291,1,中午,zhōngwǔ,noon,"Means noon or around midday."
292,1,中学,zhōngxué,middle school,"Refers to middle school or secondary school."
293,1,中学生,zhōngxuéshēng,middle school student,"Refers to a middle school or secondary school student."
294,1,住,zhù,live,"Usually means 'to live' or 'to stay' in a place."
295,1,桌子,zhuōzi,table,"Refers to a table or desk."
296,1,字,zì,character,"Usually means a Chinese character or written word. It can also refer more generally to handwriting or written form."
297,1,昨天,zuótiān,yesterday,"Means 'yesterday.'"
298,1,坐,zuò,sit,"Means 'to sit.' It can also be used for riding in a vehicle."
299,1,做,zuò,do,"Usually means 'to do' or 'to make.'"
300,1,做饭,zuò fàn,cook,"Means 'to cook' or 'to prepare a meal.'"
301,2,啊,a,sentence-final particle,"A common sentence-final particle that adds tone or emotion. It can soften a statement, show surprise, or make speech sound more natural."
302,2,爱好,àihào,hobby,"Means a hobby or personal interest. As a verb, it can also mean to enjoy doing something."
303,2,白色,báisè,white,"Means the color white."
304,2,班,bān,class,"Can mean a class, group, team, or work shift, depending on the context."
305,2,帮,bāng,help,"Usually means 'to help' or 'to assist.'"
306,2,帮忙,bāngmáng,help,"Means 'to help' or 'to give someone a hand.'"
307,2,包,bāo,bag,"Usually means a bag, package, or bundle. As a verb, it can also mean to wrap or include."
308,2,本子,běnzi,notebook,"Usually means a notebook or exercise book."
309,2,比,bǐ,compare,"Usually means 'to compare.' It is also used in comparisons to mean 'than.'"
310,2,笔,bǐ,pen,"Usually means a pen, pencil, or writing brush."
311,2,别,bié,don't,"Usually means 'don't' in commands. As a verb, it can also mean to separate or leave."
312,2,不错,búcuò,not bad,"Means 'not bad' or 'pretty good.'"
313,2,不好意思,bù hǎoyìsi,sorry,"A common polite expression for 'sorry,' 'excuse me,' or 'I feel embarrassed.'"
314,2,长,cháng,long,"Means 'long.' It can describe length, duration, or distance."
315,2,车站,chēzhàn,station,"Refers to a station or stop for vehicles such as buses or trains."
316,2,出,chū,out,"Usually means 'to go out' or 'to come out.' It can also describe something appearing or being produced."
317,2,出国,chūguó,go abroad,"Means 'to go abroad' or 'to leave the country.'"
318,2,出来,chūlái,come out,"Means 'to come out.' After another verb, it can also show that something appears or becomes clear."
319,2,出门,chūmén,go out,"Means 'to go out' or 'to leave home.'"
320,2,出去,chūqù,go out,"Means 'to go out' or 'to get out.'"
321,2,床,chuáng,bed,"Refers to a bed."
322,2,词,cí,word,"Usually means a word or expression. In some contexts, it can also refer to lyrics."
323,2,次,cì,measure word for times,"A measure word used for the number of times something happens. It can also mean 'next' in order or sequence."
324,2,从,cóng,from,"Usually means 'from.' It can show a starting point in time, place, or action."
325,2,从小,cóngxiǎo,from childhood,"Means 'from childhood' or 'since one was young.'"
326,2,错,cuò,wrong,"Means 'wrong' or 'mistaken.' It can describe an error, mistake, or something incorrect."
327,2,打,dǎ,hit,"Usually means 'to hit' or 'to strike.' In many everyday expressions, it also combines with nouns to form common actions."
328,2,打车,dǎchē,take a taxi,"Means 'to take a taxi.'"
329,2,打开,dǎkāi,open,"Means 'to open' or 'to turn on,' depending on the object."
330,2,但,dàn,but,"Means 'but,' often in a slightly more formal style."
331,2,但是,dànshì,but,"Means 'but' or 'however.'"
332,2,得,de,complement particle,"Placed after a verb or adjective and before a complement. It introduces information about degree, result, or possibility."
333,2,地,de,adverbial particle,"Placed after an adverbial phrase and before a verb. It links the manner or attitude of an action to the verb that follows."
334,2,等,děng,etc.,"Placed after examples to mean 'and so on' or 'etc.' As a verb, it can also mean 'to wait.'"
335,2,地铁,dìtiě,subway,"Refers to the subway or metro."
336,2,点,diǎn,o'clock,"Often means 'o'clock' when telling time. In other contexts, it can also mean a point, spot, or small amount."
337,2,懂,dǒng,understand,"Means 'to understand' or 'to get it.'"
338,2,动,dòng,move,"Means 'to move' or 'to change position.'"
339,2,饭馆,fànguǎn,restaurant,"Refers to a restaurant or small eatery."
340,2,飞,fēi,fly,"Means 'to fly.'"
341,2,高,gāo,tall,"Usually means 'tall' or 'high.' It can describe height, level, or degree."
342,2,高中,gāozhōng,senior high school,"Refers to senior high school."
343,2,告诉,gàosu,tell,"Means 'to tell' or 'to inform.'"
344,2,个子,gèzi,height,"Usually refers to a person's height or build."
345,2,跟,gēn,with,"Most commonly means 'with' when linking people or things. In other contexts, it can also mean 'to follow.'"
346,2,公交车,gōngjiāochē,bus,"Refers to a public bus."
347,2,过,guò,pass,"Usually means 'to pass,' 'to cross,' or 'to go through.' It can also be used in many result or direction patterns."
348,2,过来,guòlái,come over,"Means 'to come over' or 'to come here.' After another verb, it can also show movement toward the speaker."
349,2,过年,guònián,celebrate the New Year,"Means to celebrate the New Year, especially the Chinese New Year."
350,2,过去,guòqù,past,"Can mean 'to go over there' or 'to pass by.' It can also mean 'past' when talking about time."
351,2,过,guo,experiential particle,"Placed after a verb to show that someone has had the experience of doing something before."
352,2,还是,háishi,or,"In questions, it often means 'or' when giving a choice between options. In other contexts, it can also mean 'still' or suggest that something is better."
353,2,黑色,hēisè,black,"Means the color black."
354,2,红茶,hóngchá,black tea,"Refers to black tea."
355,2,红色,hóngsè,red,"Means the color red."
356,2,后面,hòumiàn,behind,"Means 'behind,' 'in back,' or 'later,' depending on the context."
357,2,花,huā,spend,"Usually means 'to spend,' especially money or time."
358,2,花,huā,flower,"Usually means a flower or blossom. It can also refer to a floral pattern in some contexts."
359,2,画,huà,draw,"Usually means 'to draw' or 'to paint.' As a noun, it can also mean a drawing or painting."
