hanzi,pinyin,levels,entryIds,file,bytes,status,source,sourceUrl,sourceUrls,license,qualityNote
一向,yí xiàng,6,5154,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一向.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%90%91.mp3,,CC-BY-SA,
一块儿,yí kuài r,3,924,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一块儿.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%9D%97%E5%84%BF.mp3,,CC-BY-SA,
一定,yí dìng,3,922,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一定.mp3,9194,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%AE%9A.mp3,,CC-BY-SA,
一带,yí dài,6,5146,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一带.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%B8%A6.mp3,,CC-BY-SA,
一律,yí lǜ,6,5150,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一律.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%BE%8B.mp3,,CC-BY-SA,
一方面,yì fāng miàn,3,2110,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一方面.mp3,25916,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-fang1.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-mian4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一旦,yí dàn,5,3354,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一旦.mp3,9612,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E6%97%A6.mp3,,CC-BY-SA,
一时,yì shí,6,5170,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一时.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E6%97%B6.mp3,,CC-BY-SA,
一样,yí yàng,3,925,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一样.mp3,8776,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E6%A0%B7.mp3,,CC-BY-SA,
一模一样,yì mú yí yàng,6,5167,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一模一样.mp3,34693,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-mu2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yang4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一次性,yí cì xìng,5,3352,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一次性.mp3,28215,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ci4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-xing4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一流,yī liú,6,5138,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一流.mp3,17348,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi1.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-liu2.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一点儿,yì diǎn r,1,261,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一点儿.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E7%82%B9%E5%84%BF.mp3,,CC-BY-SA,
一点点,yì diǎn diǎn,2,1161,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一点点.mp3,29051,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-dian3.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-dian3.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一生,yì shēng,4,1869,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一生.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E7%94%9F.mp3,,CC-BY-SA,
一番,yì fān,6,5273,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一番.mp3,16930,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-fan1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一直,yì zhí,3,934,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一直.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E7%9B%B4.mp3,,CC-BY-SA,
一致,yí zhì,5,3360,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一致.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%87%B4.mp3,,CC-BY-SA,
一般,yì bān,3,932,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一般.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%88%AC.mp3,,CC-BY-SA,
一般来说,yì bān lái shuō,4,3123,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一般来说.mp3,34275,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ban1.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-lai2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shuo1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一行,yì xíng,6,5278,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一行.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%A1%8C.mp3,,CC-BY-SA,
一贯,yí guàn,6,5148,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一贯.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%B4%AF.mp3,,CC-BY-SA,
一起,yì qǐ,2,473,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一起.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%B5%B7.mp3,,CC-BY-SA,
一路,yí lù,5,3357,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一路.mp3,18184,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-lu4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一路上,yí lù shàng,6,5269,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一路上.mp3,27797,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-lu4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一路平安,yí lù píng ān,2,1150,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一路平安.mp3,14627,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%B7%AF%E5%B9%B3%E5%AE%89.mp3,,CC-BY-SA,
一路顺风,yí lù shùn fēng,5,3358,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一路顺风.mp3,15045,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%B7%AF%E9%A1%BA%E9%A3%8E.mp3,,CC-BY-SA,
一身,yì shēn,6,5169,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一身.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%BA%AB.mp3,,CC-BY-SA,
一辈子,yí bèi zi,6,5143,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一辈子.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%BE%88%E5%AD%90.mp3,,CC-BY-SA,
一边,yì biān,3,933,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一边.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E8%BE%B9.mp3,,CC-BY-SA,
一道,yí dào,6,5147,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一道.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E9%81%93.mp3,,CC-BY-SA,
一部分,yí bù fèn,2,1146,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一部分.mp3,25289,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-bu4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-fen4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一齐,yì qí,6,5275,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一齐.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E9%BD%90.mp3,,CC-BY-SA,
七,qī,1,160,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-七.mp3,8358,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%83.mp3,,CC-BY-SA,
万,wàn,2,449,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-万.mp3,7522,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%87.mp3,,CC-BY-SA,
万一,wàn yī,5,3177,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-万一.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%87%E4%B8%80.mp3,,CC-BY-SA,
丈夫,zhàng fu,2,487,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-丈夫.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%88%E5%A4%AB.mp3,,CC-BY-SA,
三,sān,1,173,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-三.mp3,9194,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%89.mp3,,CC-BY-SA,
三明治,sān míng zhì,6,5020,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-三明治.mp3,26754,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-san1.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ming2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-zhi4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上,shàng,1,175,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上.mp3,8776,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A.mp3,,CC-BY-SA,
上下,shàng xià,5,2965,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上下.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E4%B8%8B.mp3,,CC-BY-SA,
上个月,shàng gè yuè,4,2866,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上个月.mp3,26758,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ge4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yue4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上升,shàng shēng,5,2964,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上升.mp3,11492,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%8D%87.mp3,,CC-BY-SA,
上午,shàng wǔ,1,178,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上午.mp3,12328,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%8D%88.mp3,,CC-BY-SA,
上去,shàng qù,2,427,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上去.mp3,11492,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%8E%BB.mp3,,CC-BY-SA,
上台,shàng tái,6,4752,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上台.mp3,12328,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%8F%B0.mp3,,CC-BY-SA,
上周,shàng zhōu,2,972,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上周.mp3,18817,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-zhou1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上学,shàng xué,1,179,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上学.mp3,12328,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%AD%A6.mp3,,CC-BY-SA,
上市,shàng shì,6,4750,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上市.mp3,20489,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shi4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上帝,shàng dì,6,5030,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上帝.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%B8%9D.mp3,,CC-BY-SA,
上当,shàng dàng,6,4747,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上当.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E5%BD%93.mp3,,CC-BY-SA,
上来,shàng lái,2,425,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上来.mp3,11910,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E6%9D%A5.mp3,,CC-BY-SA,
上楼,shàng lóu,4,2867,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上楼.mp3,20698,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-lou2.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上次,shàng cì,1,319,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上次.mp3,19653,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ci4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上涨,shàng zhǎng,5,2966,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上涨.mp3,12746,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E6%B6%A8.mp3,,CC-BY-SA,
上演,shàng yǎn,6,5033,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上演.mp3,20698,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yan3.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上班,shàng bān,1,176,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上班.mp3,11910,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E7%8F%AD.mp3,,CC-BY-SA,
上级,shàng jí,6,4748,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上级.mp3,11910,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E7%BA%A7.mp3,,CC-BY-SA,
上网,shàng wǎng,2,428,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上网.mp3,21742,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-wang3.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上衣,shàng yī,3,824,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上衣.mp3,11492,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E8%A1%A3.mp3,,CC-BY-SA,
上课,shàng kè,1,177,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上课.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E8%AF%BE.mp3,,CC-BY-SA,
上车,shàng chē,1,318,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上车.mp3,19653,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-shang4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-che1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
上边,shàng biān,1,317,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-上边.mp3,11492,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%8A%E8%BE%B9.mp3,,CC-BY-SA,
